biuro_nazwa_kwota;dzial_nazwa_kwota;dzial_sub_nazwa_kwota;zadanie_num;zadanie_tresc_kwota;
Biuro ds. Inwestycji  175.691.559  175.691.559  0;921 Kultura i ochrona dziedzictwa narodowego  85.885.028  0;92120 Ochrona zabytków i opieka nad zabytkami  676.400  0;2186981;Przygotowanie i wykonanie prac budowlano -konserwatorskich w zabytkowym budynku przy ul.Piotrkowskiej 272  676.400  0;
;;92195 Pozostała działalno ść  85.208.628  0;2156731;Rewitalizacja EC-1 i jej adaptacja na cele kulturalno-artystyczne  84.878.628  0;
;;;2156741;Rewitalizacja EC - 1 i jej adaptacja na cele kulturalno-artystyczne - wydatki nie obj  330.000  0 ę te umow ą  o przygotowanie projektu i umow ą  o dofinansowanie;
;926 Kultura fizyczna  89.806.531  0;92601 Obiekty sportowe  89.806.531  0;2156781;Program wykorzystania obszarów rekreacyjnych Łodzi wcelu stworzenia Regionalnego Centrum Rekreacyjno-Sportowo-Konferencyjnego - etap II "Przebudowa StadionuMiejskiego przy Al. Unii"  69.806.531  0;
;;;2156991;Budowa stadionu przy Al. Piłsudskiego 138  20.000.000  0;
Biuro ds. Rewitalizacji i RozwojuZabudowy Miasta  4.677.426  248.048  4.429.378;700 Gospodarka mieszkaniowa  248.048  4.429.378;70095 Pozostała działalno ść  248.048  4.429.378;2185421;Budowa budynku mieszkalnego z WTBS przy ul. Kaliskiej11/13/15/17  0  3.525.608;
;;;2185471;Zakup lokali mieszkalnych w strefie wielkomiejskiej wnieruchomo  0  903.770 ś ciach przeznaczonych do rewitalizacji;
;;;2191621;Miasto kamienic - rewitalizacja kwartałów  248.048  0;
Biuro Nadzoru Wła  88.732.465  42.732.465  46.000.000 ś cicielskiego;750 Administracja publiczna  42.732.465  46.000.000;75095 Pozostała działalno ść  42.732.465  46.000.000;2167721;Wniesienie wkładu pieni ęŜ nego na podwy Ŝ szenie kapitału  23.394.945  0 zakładowego oraz obj ę cie udziałów w Sp. z o.o. Port Lotniczy Łód ź  im. Władysława Reymonta wynikaj ą ce z realizacji programu "Rozbudowa Portu Lotniczego Łód ź  im. Władysława Reymonta";
;;;2167731;Wniesienie wkładu pieni ęŜ nego na podwy Ŝ szenie kapitału  6.000.200  0 zakładowego oraz obj ę cie udziałów w Mi ę dzynarodowych Targach Łódzkich Sp. z o.o. wynikaj ą ce z realizacji programu "Budowa Centrum Konferencyjno - Wystawienniczego MTŁSp. z o.o.";
